epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.00664,0.84287,1.98682,3.02699,1.1839,0,0.40833,0.27062,0.56095,0.46245,0.40833,0.27062,0.54834,0.49188,0.58566,0.84702,2.59876,0.85548,0,0.000515976,0.000515976,0.000515976
2,6.05952,0.69146,1.01592,1.89141,0.94087,0,0.57828,0.32437,0.56881,0.45607,0.57828,0.32437,0.5632,0.49384,0.68697,0.9248,2.41738,0.92802,0,0.00103628,0.00103628,0.00103628
3,8.08049,0.71715,0.85478,1.75898,0.9426,0,0.46421,0.4456,0.39152,0.25381,0.46421,0.4456,0.39041,0.26102,1.09936,2.54406,2.63326,1.15712,0,0.00151991,0.00151991,0.00151991
4,10.102,0.69562,0.80437,1.68015,0.93809,0,0.77585,0.28205,0.41247,0.29262,0.77585,0.28205,0.41054,0.27905,0.91845,2.58176,3.39782,1.04567,0,0.00150197,0.00150197,0.00150197
5,12.1185,0.63635,0.62984,1.50122,0.91881,0,0.49584,0.54608,0.55322,0.34888,0.50558,0.55891,0.56698,0.34011,1.09114,4.75145,3.07844,1.32589,0,0.00144696,0.00144696,0.00144696
6,14.1225,0.6529,0.70075,1.43982,0.92802,0,0.46508,0.7034,0.62922,0.38061,0.42992,0.67706,0.6008,0.42268,0.98297,3.68197,6.2193,1.13031,0,0.00139195,0.00139195,0.00139195
7,16.1291,0.61595,0.64415,1.32483,0.9068,0,0.77501,0.77027,0.87062,0.69903,0.77501,0.77027,0.86763,0.79,0.61475,0.57623,2.2762,0.86451,0,0.00133693,0.00133693,0.00133693
8,18.1816,0.58468,0.62661,1.20468,0.89987,0,0.68059,0.80467,0.90116,0.77658,0.68059,0.80467,0.89692,0.85007,0.54574,0.53455,1.6234,0.84172,0,0.00128192,0.00128192,0.00128192
9,20.2423,0.59988,0.57935,1.06615,0.90013,0,0.89933,0.77585,0.92869,0.79132,0.88475,0.76314,0.90424,0.70319,0.54402,1.88441,1.21699,0.85214,0,0.00122691,0.00122691,0.00122691
10,22.2735,0.56034,0.60356,1.0201,0.89492,0,0.94735,0.75017,0.90342,0.72477,0.94735,0.75017,0.90342,0.83719,0.64242,0.48424,1.36924,0.90644,0,0.0011719,0.0011719,0.0011719
11,24.2885,0.54901,0.60872,1.00338,0.90202,0,0.87207,0.84995,0.93502,0.80142,0.87207,0.84995,0.93502,0.8668,0.53065,0.44026,1.26063,0.85849,0,0.00111689,0.00111689,0.00111689
12,26.3279,0.5007,0.50943,0.91162,0.88089,0,0.83732,0.78861,0.9507,0.81803,0.83732,0.78861,0.9507,0.88365,0.51933,0.48667,1.38881,0.8657,0,0.00106188,0.00106188,0.00106188
13,28.3965,0.50178,0.47446,0.82913,0.87838,0,0.83562,0.83928,0.96686,0.85449,0.83562,0.83928,0.96686,0.91509,0.47954,0.43448,1.16076,0.84385,0,0.00100687,0.00100687,0.00100687
14,30.4258,0.48355,0.50862,0.84334,0.86845,0,0.87302,0.92597,0.9796,0.85668,0.87302,0.92597,0.9796,0.92528,0.44231,0.41126,0.95642,0.83996,0,0.000951857,0.000951857,0.000951857
