epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.69853,0.75127,1.43029,3.36801,0.9441,0,1,0.60269,0.75166,0.43128,1,0.60269,0.7525,0.6516,0.88468,0.91121,2.97295,0.84607,0,0.000611111,0.000611111,0.000611111
2,6.09418,0.84253,1.03956,1.77018,0.90462,0,0.00283,0.84783,0.0108,0.00512,0.00268,0.80435,0.00995,0.00497,1.59263,2.78589,4.02956,1.2868,0,0.00123561,0.00123561,0.00123561
3,7.87136,0.87931,1.04832,1.62586,0.94544,0,0.00304,0.91304,0.00588,0.00254,0.00254,0.76087,0.00406,0.00147,1.71076,4.4397,4.01232,1.4315,0,0.00181611,0.00181611,0.00181611
4,9.62323,0.82226,0.99868,1.47649,0.93051,0,0.69083,0.1087,0.24603,0.1883,0.69083,0.1087,0.25381,0.18643,0.76595,3.06469,3.07422,0.97239,0,0.001802,0.001802,0.001802
5,11.3689,0.82236,0.97126,1.30303,0.93994,0,0.87926,0.17391,0.40801,0.27769,0.87926,0.17391,0.41085,0.34572,0.72704,1.46108,2.8623,0.93204,0,0.001736,0.001736,0.001736
6,13.086,0.74596,0.95801,1.09865,0.91107,0,0.62372,0.17391,0.38862,0.21696,0.70168,0.19565,0.46724,0.29835,0.93574,1.53978,2.90391,1.0176,0,0.00167,0.00167,0.00167
7,14.8626,0.72377,0.88427,1.05404,0.89702,0,0.26899,0.52174,0.24942,0.1812,0.42793,0.553,0.44222,0.28138,1.02255,1.01964,2.41169,1.09942,0,0.001604,0.001604,0.001604
8,16.7063,0.70032,0.81001,0.96861,0.88995,0,0.33161,0.56522,0.34232,0.27715,0.34482,0.58696,0.35644,0.30587,0.67297,0.70567,2.3206,0.88357,0,0.001538,0.001538,0.001538
9,18.5037,0.73459,0.88061,0.94332,0.8949,0,0.51822,0.73913,0.5928,0.51528,0.51822,0.73913,0.59299,0.51752,0.60774,0.74318,1.70045,0.88161,0,0.001472,0.001472,0.001472
10,20.3189,0.67785,0.89193,0.87759,0.88376,0,0.59494,0.89407,0.66146,0.55432,0.59494,0.89407,0.66266,0.56925,0.61332,0.70209,1.35798,0.8751,0,0.001406,0.001406,0.001406
11,22.3044,0.65315,0.79137,0.81842,0.89898,0,0.89102,0.91304,0.92809,0.7972,0.89102,0.91304,0.92809,0.81261,0.55768,0.67239,0.91646,0.85129,0,0.00134,0.00134,0.00134
12,24.1962,0.63384,0.8935,0.78441,0.87979,0,0.99688,0.93478,0.98102,0.83484,0.99688,0.93478,0.97625,0.85931,0.56086,0.71504,0.83313,0.84933,0,0.001274,0.001274,0.001274
13,26.1561,0.6277,0.80499,0.751,0.8587,0,0.99875,0.95652,0.97481,0.82215,0.99875,0.95652,0.98748,0.86013,0.53614,0.63028,0.70211,0.85643,0,0.001208,0.001208,0.001208
14,28.0239,0.59679,0.79949,0.68086,0.85824,0,0.97856,0.99216,0.99415,0.85572,0.99829,0.95652,0.99219,0.8805,0.49601,0.64197,0.62879,0.83823,0,0.001142,0.001142,0.001142
15,29.9683,0.61553,0.77747,0.71218,0.85781,0,1,0.97651,0.99417,0.84542,0.99719,0.95652,0.99215,0.86544,0.54742,0.63439,0.71702,0.84553,0,0.001076,0.001076,0.001076
16,31.787,0.62616,0.79696,0.67328,0.86674,0,1,0.99761,0.995,0.84672,1,0.93381,0.9843,0.85243,0.52216,0.61477,0.65674,0.83906,0,0.00101,0.00101,0.00101
17,33.5096,0.56141,0.70562,0.62803,0.84731,0,0.99796,1,0.995,0.85951,1,0.97398,0.99269,0.86587,0.48383,0.632,0.57212,0.83556,0,0.000944,0.000944,0.000944
18,35.2326,0.56918,0.7852,0.61387,0.85752,0,0.99836,1,0.995,0.84417,0.99836,1,0.995,0.85473,0.53277,0.60864,0.59009,0.84835,0,0.000878,0.000878,0.000878
19,36.9664,0.59584,0.83702,0.63669,0.85904,0,0.99857,1,0.995,0.85754,0.99857,1,0.995,0.8528,0.49071,0.6306,0.55706,0.83957,0,0.000812,0.000812,0.000812
20,38.6881,0.5944,0.80995,0.62828,0.88005,0,1,0.99992,0.995,0.86325,1,0.99992,0.995,0.86986,0.523,0.63775,0.564,0.8524,0,0.000746,0.000746,0.000746
21,41.085,0.53119,0.73189,0.70586,0.84116,0,0.99904,1,0.995,0.85947,1,0.97615,0.99378,0.88044,0.47734,0.64297,0.61675,0.83815,0,0.00068,0.00068,0.00068
22,42.833,0.52947,0.7714,0.68255,0.83696,0,1,0.99715,0.995,0.86787,0.97773,0.95458,0.9921,0.8761,0.48119,0.62487,0.52387,0.83967,0,0.000614,0.000614,0.000614
23,44.573,0.50867,0.74097,0.64624,0.82686,0,1,0.99635,0.995,0.85939,0.97843,0.98631,0.99372,0.85575,0.4642,0.64451,0.51164,0.83466,0,0.000548,0.000548,0.000548
24,46.2954,0.51789,0.70439,0.63357,0.84037,0,0.99809,1,0.995,0.86059,0.99809,1,0.995,0.86127,0.4845,0.62077,0.5065,0.83427,0,0.000482,0.000482,0.000482
25,48.0016,0.51824,0.72829,0.62559,0.81904,0,0.99788,1,0.995,0.87183,0.99788,1,0.995,0.89352,0.47553,0.61076,0.47483,0.83577,0,0.000416,0.000416,0.000416
26,52.6044,0.5159,0.68452,0.59327,0.831,0,0.99787,1,0.995,0.86672,0.99787,1,0.995,0.8554,0.47126,0.62701,0.45976,0.83238,0,0.00035,0.00035,0.00035
27,55.2619,0.51257,0.68952,0.5861,0.8195,0,0.99753,1,0.995,0.87217,0.99753,1,0.995,0.87169,0.46704,0.6226,0.44576,0.83034,0,0.000284,0.000284,0.000284
28,59.0538,0.50481,0.70883,0.56431,0.84593,0,0.99721,1,0.995,0.8811,1,0.97571,0.98448,0.86732,0.4615,0.62813,0.44464,0.82998,0,0.000218,0.000218,0.000218
29,60.784,0.48729,0.7234,0.56401,0.82544,0,0.99789,1,0.995,0.87028,1,0.97664,0.98068,0.87182,0.4654,0.61612,0.44073,0.83173,0,0.000152,0.000152,0.000152
30,62.4938,0.48967,0.66513,0.55181,0.84571,0,0.99901,1,0.995,0.87729,1,0.97696,0.97639,0.87431,0.46251,0.60964,0.43126,0.83159,0,8.6e-05,8.6e-05,8.6e-05
