# 电机故障日志；上位机收到电机故障回包后在此追加本机时间戳、总线、ID、错误码和板端 tick。
2026-08-13T15:57:45.770+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=191669
2026-08-13T16:01:10.189+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=54373
2026-08-13T16:01:21.656+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=65825
2026-08-13T16:01:44.114+08:00 | M2006 | FDCAN3 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=88295
2026-08-13T16:01:45.294+08:00 | M2006 | FDCAN3 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=89469
2026-08-13T16:01:50.942+08:00 | M2006 | FDCAN3 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=95125
2026-08-13T16:06:53.540+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=14325
2026-08-13T18:23:00.361+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0xF0 (反馈超时/离线) | board_tick_ms=17936
2026-08-13T18:23:03.206+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0xF0 (反馈超时/离线) | board_tick_ms=20796
2026-08-13T18:23:04.969+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0xF0 (反馈超时/离线) | board_tick_ms=22548
2026-08-13T18:23:13.419+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0xF0 (反馈超时/离线) | board_tick_ms=31011
2026-08-13T18:23:34.578+08:00 | M3508 | FDCAN2 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=52151
2026-08-13T18:23:34.587+08:00 | M3508 | FDCAN2 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=52155
2026-08-13T18:24:24.746+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0xF0 (反馈超时/离线) | board_tick_ms=102339
2026-08-13T18:24:41.742+08:00 | M3508 | FDCAN2 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=119324
2026-08-13T18:24:41.750+08:00 | M3508 | FDCAN2 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=119325
2026-08-13T18:24:50.435+08:00 | M3508 | FDCAN2 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=128031
2026-08-13T18:24:50.443+08:00 | M3508 | FDCAN2 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=128032
2026-08-13T18:25:36.137+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=173731
2026-08-13T18:25:43.001+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=180598
2026-08-13T18:26:04.969+08:00 | M2006 | FDCAN3 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=202549
2026-08-13T19:08:46.723+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0xF0 (反馈超时/离线) | board_tick_ms=41191
2026-08-13T19:08:59.387+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0xF0 (反馈超时/离线) | board_tick_ms=53839
2026-08-13T19:22:46.612+08:00 | M3508 | FDCAN2 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=40324
2026-08-13T19:22:46.620+08:00 | M3508 | FDCAN2 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=40325
2026-08-13T19:24:23.453+08:00 | M3508 | FDCAN2 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=137144
2026-08-13T19:24:23.460+08:00 | M3508 | FDCAN2 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=137145
2026-08-13T19:25:09.553+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=183264
2026-08-13T19:25:47.324+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=221036
2026-08-13T19:26:30.007+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=263714
2026-08-13T19:38:53.460+08:00 | M3508 | FDCAN2 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=12662
2026-08-13T19:38:53.463+08:00 | M3508 | FDCAN2 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=12663
2026-08-13T19:39:51.295+08:00 | M3508 | FDCAN2 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=70491
2026-08-13T19:39:51.300+08:00 | M3508 | FDCAN2 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=70492
2026-08-13T19:41:36.940+08:00 | M3508 | FDCAN2 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=56717
2026-08-13T19:41:36.948+08:00 | M3508 | FDCAN2 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=56718
2026-08-13T19:43:22.610+08:00 | M3508 | FDCAN2 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=162364
2026-08-13T19:43:22.617+08:00 | M3508 | FDCAN2 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=162365
2026-08-13T19:45:04.674+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=264426
2026-08-13T20:12:48.158+08:00 | M2006 | FDCAN3 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=52733
2026-08-13T20:13:14.564+08:00 | M2006 | FDCAN3 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=79122
2026-08-13T20:14:37.365+08:00 | M2006 | FDCAN3 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=40415
2026-08-13T20:16:05.231+08:00 | M2006 | FDCAN3 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=39180
2026-08-13T21:07:55.053+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=16422
2026-08-13T21:10:40.143+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=33056
